,Food label,Substitution label
5,"SOUP,BOUILLON CUBES&GRANULES,LO NA,DRY","SOUP,BF BROTH,BOUILLON,CONSOMME,PREP W/ EQ VOLUME H2O"
9,"SOUP,BOUILLON CUBES&GRANULES,LO NA,DRY","SOUP,BF BROTH BOUILLON & CONSOMME,CND,COND"
3,"BOLOGNA,BF","PORK SAUSAGE,LINK/PATTY,CKD,PAN-FRIED"
9,"BOLOGNA,BF","BOLOGNA,MEAT & POULTRY"
0,SALAMI  CKD  BF,FRANKFURTER  MEAT
2,SALAMI  CKD  BF,"HAM,MINCED"
2,"THURINGER,CERVELAT,SMMR SAUSAGE,BF,PORK","FRANKFURTER,PORK"
5,"THURINGER,CERVELAT,SMMR SAUSAGE,BF,PORK","SANDWICH SPREAD,PORK,BEEF"
6,"LUNCHEON MEAT,PORK W/HAM,MINCED,CND,INCL SPAM (HORMEL)","TURKEY,PORK,&BF SAUSAGE,LOFAT,SMOKED"
9,"LUNCHEON MEAT,PORK W/HAM,MINCED,CND,INCL SPAM (HORMEL)",SAUSAGE  BERLINER  PORK  BF
0,"BEEF SAUSAGE,PRE-COOKED","LUNCHEON MEAT,PORK W/HAM,MINCED,CND,INCL SPAM (HORMEL)"
7,"BEEF SAUSAGE,PRE-COOKED","TURKEY,PORK,&BF SAUSAGE,LOFAT,SMOKED"
5,"KIELBASA,FULLY CKD,GRILLED","SMOKED LINK SAUSAGE,PORK"
7,"KIELBASA,FULLY CKD,GRILLED","MEATBALLS,FRZ,ITALIAN STYLE"
2,"CEREALS RTE,QUAKER,CAP'N CRUNCH W/ CRUNCHBERRIES","CEREALS RTE,OAT BRAN FLAKES,HEALTH VALLEY"
5,"CEREALS RTE,QUAKER,CAP'N CRUNCH W/ CRUNCHBERRIES","CEREALS,QUAKER,INST GRITS PRODUCT W/ AMERICAN CHS FLAVOR,DRY"
1,"CEREALS RTE,KELLOGG,KELLOGG'S ALL-BRAN COMPLETE WHEAT FLAKES","CEREALS RTE,QUAKER,MAPLE BROWN SUGAR LIFE CRL"
9,"CEREALS RTE,KELLOGG,KELLOGG'S ALL-BRAN COMPLETE WHEAT FLAKES","CEREALS,FARINA,ENR,CKD W/ H2O,WO/ SALT"
5,"CEREALS RTE,MALT-O-MEAL,HONEY BUZZERS","CEREALS RTE,GENERAL MILLS,OAT CLUSTER CHEERIOS CRUNCH"
6,"CEREALS RTE,MALT-O-MEAL,HONEY BUZZERS","CEREALS RTE,GENERAL MILLS,FIBER ONE BRAN CRL"
7,"CEREALS RTE,KELLOGG,KELLOGG'S CINNABON CRL","CEREALS RTE,POST,SHREDDED WHEAT,ORIGINAL BIG BISCUIT"
8,"CEREALS RTE,KELLOGG,KELLOGG'S CINNABON CRL","CEREALS RTE,POST BRAN FLAKES"
4,"CEREALS RTE,MALT-O-MEAL,CHOC MARSHMLLW MATEYS","CEREALS RTE,KELLOGG'S FRSTD MINI-WHEATS,BIG BITE"
8,"CEREALS RTE,MALT-O-MEAL,CHOC MARSHMLLW MATEYS","CEREALS,CREAM OF RICE,CKD W/ H2O,W/ SALT"
3,"APPLE JUC,CND OR BTLD,UNSWTND,WO/ ADDED VIT C","PEACH NECTAR,CND,WO/ VIT C"
8,"APPLE JUC,CND OR BTLD,UNSWTND,WO/ ADDED VIT C","STRAWBERRIES,FRZ,UNSWTND"
0,"APPLESAUCE,CND,UNSWTND,WO/ADDED VIT C (INCLUDES USDA COMMOD)","BLUEBERRIES,RAW"
2,"APPLESAUCE,CND,UNSWTND,WO/ADDED VIT C (INCLUDES USDA COMMOD)","PEACHES,RAW"
0,"APRICOTS,CND,LT SYRUP PK,W/SKN,SOL&LIQUIDS","FIGS,CND,LT SYRUP PK,SOL&LIQUIDS"
3,"APRICOTS,CND,LT SYRUP PK,W/SKN,SOL&LIQUIDS","KIWIFRUIT,GRN,RAW"
0,"APRICOTS,CND,HVY SYRUP PK,W/SKN,SOL&LIQUIDS","FIGS,CND,H2O PK,SOL&LIQUIDS"
4,"APRICOTS,CND,HVY SYRUP PK,W/SKN,SOL&LIQUIDS","KIWIFRUIT,GRN,RAW"
0,"BANANAS,DEHYD,OR BANANA PDR","PLUMS,DRIED (PRUNES),STWD,WO/ ADDED SUGAR"
5,"BANANAS,DEHYD,OR BANANA PDR","FIGS,DRIED,STEWED"
0,"CHERRIES,TART,DRIED,SWTND","CRANBERRIES,DRIED,SWTND"
5,"CHERRIES,TART,DRIED,SWTND","APPLES,CND,SWTND,SLICED,DRND,HTD"
4,"CRANBERRIES,DRIED,SWTND","BLUEBERRIES,DRIED,SWTND"
7,"CRANBERRIES,DRIED,SWTND","LIME JUICE,RAW"
1,"FIGS,CND,LT SYRUP PK,SOL&LIQUIDS","FIGS,CND,H2O PK,SOL&LIQUIDS"
4,"FIGS,CND,LT SYRUP PK,SOL&LIQUIDS","KIWIFRUIT,GRN,RAW"
1,"FIGS,CND,HVY SYRUP PK,SOL&LIQUIDS","FIGS,CND,H2O PK,SOL&LIQUIDS"
4,"FIGS,CND,HVY SYRUP PK,SOL&LIQUIDS","KIWIFRUIT,GRN,RAW"
8,"GRAPEFRUIT JUC,WHITE,CND,UNSWTND","PEACHES,CND,JUC PK,SOL&LIQUIDS"
9,"GRAPEFRUIT JUC,WHITE,CND,UNSWTND","PEACHES,CND,LT SYRUP PK,SOL&LIQUIDS"
0,"GRAPEFRUIT JUC,WHITE,RAW",ORANGE PNAPPL JUC BLEND
1,"GRAPEFRUIT JUC,WHITE,RAW","PEACHES,CND,JUC PK,SOL&LIQUIDS"
0,"GRAPES,AMERICAN TYPE (SLIP SKN),RAW","BOYSENBERRIES,FRZ,UNSWTND"
6,"GRAPES,AMERICAN TYPE (SLIP SKN),RAW","BLACKBERRIES,FRZ,UNSWTND"
6,"LEMON JUICE,RAW","LIME JUICE,RAW"
7,"LEMON JUICE,RAW","ORANGES,RAW,CALIFORNIA,VALENCIAS"
0,"LITCHIS,RAW","PINEAPPLE,CND,H2O PK,SOL&LIQUIDS"
